"","CID3921","CID45171","CID4066","CID4465","CID4495","CID44971","CID44991","CID4513","CID4515","CID4523","CID3963","CID4461","CID4463","CID4471","CID4530N","CID4535","CID3941","CID3948","CID4067","CID4290A"
"PINK1",291,325,173,5,30,227,709,199,312,237,5,7,32,16,323,436,2,7,197,304
"PINK1-AS",9,9,5,0,3,11,41,5,58,2,0,0,2,2,8,7,0,0,6,10
"DDOST",3734,1099,1385,14,2151,2930,11612,2936,8148,2495,524,61,1203,510,2241,1333,100,189,787,1625
"KIF17",1,0,0,0,0,1,2,0,1,2,1,0,0,0,6,2,0,2,1,0
"HP1BP3",1304,1347,605,39,732,2046,7567,2298,5392,2251,267,52,1273,367,2223,1695,76,270,2546,1839
"EIF4G3",453,245,288,0,84,232,755,514,748,373,37,8,125,74,380,250,20,30,302,485
"ECE1",647,115,715,1,86,355,4416,1347,2106,92,26,13,247,80,860,750,21,88,732,600
"RP5-1071N3.1",0,0,1,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,1
"NBPF3",39,51,25,1,54,67,146,55,72,30,2,4,27,11,40,23,8,8,80,172
"ALPL",13,5,3,0,37,56,713,5,58,5,1,1,7,2,7,23,1,1,48,11
"RAP1GAP",33,5,149,0,70,57,524,1,241,16,1,2,20,25,191,76,4,7,101,254
"USP48",630,202,301,17,457,1001,2401,1155,2037,564,79,21,341,133,762,731,32,57,342,941
"LDLRAD2",1,3,1,0,2,0,19,6,0,0,0,0,1,0,35,0,0,0,0,9
"HSPG2",56,21,53,2,100,70,307,818,103,40,12,7,5,19,110,76,2,4,59,124
"RP1-224A6.3",2,0,2,0,2,0,1,1,0,1,0,0,0,0,3,0,0,0,4,0
"LINC00339",473,27,151,0,152,244,390,300,268,90,50,3,59,18,182,137,17,33,161,202
"CDC42",2762,1592,1787,114,982,3053,12017,2858,7836,4118,416,106,985,477,6466,4445,215,424,2164,2938
"RP1-224A6.9",1,0,0,0,1,0,4,0,3,0,0,0,1,0,2,0,0,0,0,1
"WNT4",2,0,26,0,4,21,39,0,23,56,1,3,29,0,29,51,0,10,47,193
"ZBTB40",79,65,48,1,33,122,419,118,165,48,17,0,26,21,111,90,6,12,95,134
"C1QA",96,3,4,0,259,58,92,735,131,8,4,3,7,1,19,494,1,3,24,39
"C1QC",73,0,2,2,326,88,87,607,69,2,0,1,10,1,9,179,0,1,28,57
"C1QB",111,4,2,2,366,66,105,907,118,4,0,0,12,4,13,438,0,5,27,52
"EPHB2",2,9,5,1,1,0,208,849,551,4,12,2,1,3,1,3,0,3,0,11
"C1orf234",2,3,0,0,1,2,2,1,2,1,1,0,0,0,3,4,0,0,0,1
"KDM1A",277,242,238,2,269,604,1103,342,1457,429,30,7,77,44,473,236,16,38,215,293
"LUZP1",397,136,187,1,91,466,1758,1016,1804,549,26,3,56,65,525,306,7,17,84,402
"LINC01355",17,15,9,0,5,29,61,16,87,34,2,2,12,1,115,80,1,1,74,38
"HNRNPR",1609,1092,1145,72,1301,3200,5901,2290,11706,2443,209,62,772,364,4198,3828,76,196,1159,2092
"ZNF436",148,35,74,3,11,60,262,46,56,40,12,1,20,16,70,77,8,12,153,114
"ZNF436-AS1",48,14,15,1,20,36,75,27,227,38,6,0,18,3,44,26,5,0,25,18
"RP5-1057J7.7",0,5,1,0,0,2,2,1,4,1,0,0,1,0,22,33,0,0,4,0
"TCEA3",1803,558,658,10,150,810,3411,550,2134,1318,119,14,1797,472,5540,2669,67,366,681,1834
"ASAP3",279,122,61,0,18,90,719,137,122,14,32,4,28,26,358,74,3,13,17,184
"E2F2",45,16,16,2,4,15,280,17,236,20,0,0,1,3,0,18,0,0,8,3
"ID3",10235,1198,1765,27,56,65,3588,2570,2883,7385,844,151,225,539,446,473,125,553,324,3045
"MDS2",0,0,0,0,1,0,1,2,4,9,1,0,0,0,0,0,0,0,0,1
"RPL11",71148,61156,43756,97,66982,48672,90968,53628,205322,91861,15249,122,28924,6782,105109,76191,9396,10657,24175,94415
"TCEB3",385,530,182,7,375,606,2059,538,1594,637,22,9,236,46,340,533,8,33,167,352
"TCEB3-AS1",156,75,37,0,70,68,212,79,388,67,11,5,48,9,150,263,15,18,103,64
"PITHD1",1182,1045,462,16,1004,1457,3609,1789,2449,810,187,29,242,149,921,908,88,104,591,1359
"LYPLA2",1988,1449,684,30,503,2278,4465,1182,2083,868,187,43,387,139,1262,927,75,116,599,748
"GALE",866,864,401,21,362,390,3795,1008,2943,1269,101,24,425,105,1268,661,31,113,402,609
"HMGCL",162,140,146,10,58,329,435,317,861,463,75,42,323,61,647,703,13,42,329,317
"FUCA1",84,56,170,3,62,128,1128,126,691,321,17,9,602,66,2383,996,13,41,156,604
"CNR2",1,1,0,0,3,4,2,0,9,1,1,0,0,0,4,4,0,0,0,1
"PNRC2",1462,2286,1089,32,669,1746,3702,1352,3511,1230,241,78,1402,311,2146,2633,118,254,1734,2291
"SRSF10",1499,1454,1206,75,837,2544,7439,2037,6436,1896,297,112,1164,344,2579,2940,119,271,1385,2668
"MYOM3",0,0,1,0,0,1,1,3,1,0,0,0,0,0,1,0,0,0,0,1
"IL22RA1",0,0,0,0,0,11,4,12,1,1,0,0,0,3,1,1,0,0,0,1
"IFNLR1",7,5,13,0,9,52,74,0,12,9,0,3,27,0,38,34,1,1,0,25
"GRHL3",17,3,55,0,1,20,207,1,3,23,0,0,6,5,25,0,1,3,6,85
"STPG1",150,56,40,3,78,113,353,130,240,134,16,6,70,10,139,156,5,10,59,123
"NIPAL3",171,309,139,4,93,185,607,286,1416,128,26,4,97,34,424,324,3,16,74,191
"RCAN3",498,164,262,6,250,366,981,222,2249,301,23,8,142,48,526,475,17,59,249,323
"RP4-594I10.3",6,9,1,0,4,20,34,2,32,8,0,0,0,3,17,67,1,0,3,7
"NCMAP",7,5,12,0,18,8,11,0,180,1,1,0,7,1,11,4,0,1,0,1
"SRRM1",2382,1732,1488,62,2176,3913,9375,2504,13063,2691,354,84,1375,413,2148,2688,141,323,1509,3009
"CLIC4",1128,188,414,19,424,689,2221,2609,3701,509,150,16,101,86,288,260,27,42,100,1270
"RUNX3",30,19,1,1,52,70,549,13,295,1,0,1,3,0,2,9,0,1,12,8
"RP11-84D1.1",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RP11-84D1.2",1,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0
"RP4-799D16.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SYF2",1309,851,837,36,1000,1584,2190,796,4729,1592,186,119,658,191,2428,3383,128,134,713,1726
"RSRP1",2073,1150,1415,16,484,1661,3695,1690,7370,1409,512,66,653,384,5642,3391,221,246,1404,4243
"RP3-465N24.6",9,15,1,0,1,1,9,2,20,6,0,0,1,0,11,4,0,0,1,5
"RHD",0,0,0,0,2,2,2,0,1,0,0,0,1,1,1,1,0,0,0,1
"TMEM50A",4488,1388,2795,71,2105,3158,8317,3136,10570,2908,627,161,2871,356,7394,5736,204,566,3784,4151
"RHCE",26,10,8,0,11,16,43,17,42,41,2,0,7,8,48,21,0,0,4,19
"TMEM57",687,422,370,7,137,464,3498,417,861,451,72,10,265,214,932,1368,21,46,245,855
"LDLRAP1",507,126,167,3,180,173,1555,210,526,163,18,5,99,65,601,212,9,25,100,320
"RP11-70P17.1",7,1,6,1,8,1,12,0,76,14,0,2,0,1,11,5,0,2,2,2
"MAN1C1",9,4,84,0,9,4,216,21,8,1,0,2,24,7,66,46,0,3,6,191
"SEPN1",171,75,227,3,148,141,1076,359,504,97,20,4,74,84,861,185,15,30,209,387
"RP1-317E23.3",40,15,4,0,31,31,24,4,80,15,3,0,8,3,25,4,4,1,36,15
"MTFR1L",313,169,178,16,230,571,686,347,1302,356,43,26,166,36,725,577,25,43,198,251
"AUNIP",102,9,42,3,147,143,188,67,572,84,0,0,16,8,14,17,1,0,10,7
"RP1-125I3.2",7,1,8,0,4,6,32,5,5,0,1,0,5,2,0,0,4,3,6,12
"PAQR7",35,6,19,1,17,13,10,36,108,68,2,3,7,5,88,99,0,3,6,42
"STMN1",3736,1734,4430,249,6481,32727,35205,5108,20188,6147,642,165,1377,910,577,5187,130,234,1803,1087
"PAFAH2",135,93,45,2,24,99,145,90,201,106,9,9,36,13,192,258,10,14,149,265
"EXTL1",2,0,1,0,2,14,1,3,3,0,0,0,4,3,3,1,0,0,2,29
"PDIK1L",196,71,95,5,51,115,301,25,187,70,11,8,72,13,117,132,10,26,124,255
"FAM110D",5,1,4,0,10,9,15,0,9,3,0,0,0,2,21,0,1,0,1,4
"RP11-96L14.7",9,4,15,0,30,24,59,11,15,5,7,0,10,0,26,2,1,1,7,14
"ZNF593",1947,860,1766,25,2501,2195,6269,2013,8525,2537,774,53,861,279,3092,3079,202,439,1869,3741
"CNKSR1",449,218,217,10,172,602,793,0,560,140,75,28,205,167,559,575,15,24,344,818
"CEP85",63,38,57,1,72,97,425,66,296,62,12,3,40,12,53,95,5,13,70,54
"SH3BGRL3",10754,2367,3837,130,7110,8710,21470,32684,15118,6392,1774,202,1835,877,4299,4294,242,609,5643,10077
"UBXN11",289,108,86,7,309,368,1380,206,762,117,47,11,180,70,464,544,33,57,338,352
"CD52",15,158,19,12,313,190,161,44,138,70,19,37,4,15,32,218,0,4,19,25
"AIM1L",123,5,61,2,7,162,64,3,112,87,12,3,7,2,19,8,1,4,4,29
"ZNF683",2,6,11,1,55,52,27,10,2,6,3,1,1,1,3,12,0,1,4,0
"DHDDS",321,155,177,3,147,236,1193,315,1188,200,34,10,144,63,473,336,9,29,138,212
"HMGN2",6067,2809,8519,225,5269,8798,33195,12735,15879,14903,913,293,4347,1591,9712,11994,604,1848,7622,7961
"RPS6KA1",255,82,90,2,92,17,403,53,983,111,19,0,14,13,155,44,7,11,91,231
"RP5-968P14.2",1,9,1,0,7,2,24,0,6,1,0,0,1,1,2,0,0,0,6,4
"ARID1A",349,414,434,8,362,626,2863,502,2027,411,36,11,170,138,1053,721,44,90,707,1261
"PIGV",232,70,63,2,111,117,500,259,348,181,19,12,181,20,432,439,16,46,154,194
"ZDHHC18",55,43,64,3,102,85,222,82,516,52,10,1,17,13,157,92,5,8,71,64
"SFN",2013,214,1086,10,135,18,12305,3177,2228,6324,414,4,277,168,290,23,32,69,467,1484
"GPN2",226,109,141,3,230,231,564,350,870,311,21,6,73,23,271,230,11,20,121,234
"GPATCH3",266,52,126,3,160,309,584,166,249,102,43,2,99,15,100,185,14,15,85,255
"NUDC",2222,1391,1053,43,2886,3806,8526,3659,9579,3862,404,102,1173,403,3118,5432,138,371,1016,2238
"KDF1",592,202,187,17,460,611,1797,0,927,444,53,33,233,37,338,509,20,18,241,398
"TRNP1",11,3,27,0,58,35,9,75,41,4,4,1,2,1,26,3,1,3,30,51
"FAM46B",228,214,91,3,214,74,1153,23,619,72,32,6,58,24,126,8,8,9,133,413
"SLC9A1",288,117,194,0,29,47,598,249,262,91,29,1,57,34,319,208,17,47,157,393
"WDTC1",115,59,90,1,50,183,522,96,129,88,18,1,55,21,287,143,17,9,157,223
"TMEM222",674,349,372,7,539,547,1632,968,1158,449,157,21,352,75,666,646,46,88,346,391
"SYTL1",956,44,550,4,109,187,1151,423,424,656,52,6,431,287,1057,719,85,126,436,1908
"MAP3K6",91,42,38,2,25,31,409,106,343,81,16,2,9,25,115,44,9,8,106,117
"FCN3",0,1,0,0,3,0,0,0,10,0,0,0,0,0,4,20,0,0,1,1
"CD164L2",185,11,5,0,70,0,120,0,429,55,15,0,14,18,44,6,19,8,21,174
"GPR3",12,0,3,0,32,8,46,23,75,1,1,0,3,1,5,4,4,1,7,11
"WASF2",2511,1132,1142,72,1861,2432,14531,2485,10708,2179,164,69,485,379,2058,1379,62,90,830,1235
"RP1-159A19.4",1,0,0,0,2,0,0,3,0,2,0,0,0,1,2,1,0,1,0,2
"AHDC1",172,112,167,2,78,347,887,193,1081,112,21,2,25,28,169,76,12,58,270,481
"FGR",40,4,0,0,9,12,8,5,16,14,0,1,1,0,6,9,0,0,0,6
"IFI6",1053,131,1498,3,776,739,5931,3821,5199,3088,170,227,1653,158,58936,13569,21,2441,530,795
"FAM76A",256,108,75,5,130,176,733,176,601,173,20,4,62,23,361,294,5,20,181,271
"STX12",811,357,269,7,225,504,1976,842,1194,416,81,9,260,43,752,844,60,56,371,584
"PPP1R8",333,255,176,7,282,471,735,344,1276,469,35,11,88,35,397,739,12,21,180,225
"THEMIS2",91,6,21,0,36,24,53,136,88,15,11,1,3,2,6,18,0,0,1,5
"RPA2",444,280,278,15,407,865,1713,426,1489,645,82,22,255,74,768,972,22,30,255,381
"SMPDL3B",132,49,93,15,106,545,839,0,678,375,47,1,35,34,211,179,11,8,23,103
"XKR8",149,36,53,0,140,162,509,142,187,82,16,3,25,16,155,119,5,16,45,105
"EYA3",232,78,85,2,111,203,402,150,512,141,21,3,56,26,207,244,7,17,124,159
"PTAFR",86,5,24,0,19,11,83,9,40,55,8,0,1,11,5,10,0,0,2,116
"DNAJC8",1051,693,691,62,845,1979,5440,1579,5680,2248,226,115,815,193,1159,2013,65,112,564,900
"ATPIF1",5124,3016,3867,114,4091,3627,15287,2938,16996,10672,841,337,2021,874,4691,6051,342,769,4825,2769
"RP5-1092A3.4",12,24,16,0,14,29,68,11,42,9,3,0,25,3,115,75,1,8,47,26
"RP5-1092A3.5",0,2,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0
"SESN2",198,115,123,4,143,69,684,729,337,124,111,4,55,21,347,212,10,29,96,575
"MED18",72,40,21,3,56,104,276,72,114,101,1,2,30,1,42,154,1,4,15,25
"PHACTR4",505,244,226,4,432,566,2108,344,1477,300,53,7,118,75,480,528,17,39,226,394
"RCC1",820,351,377,7,1417,649,1387,552,2132,449,111,8,99,29,350,356,38,38,217,309
"TRNAU1AP",913,305,387,4,649,474,2318,618,860,537,114,12,196,83,424,461,21,43,289,506
"SNHG12",1292,245,974,0,1398,1060,1951,1362,1604,330,633,3,42,172,717,497,117,247,720,1471
"TAF12",1067,531,407,19,594,555,1810,1135,2500,1913,138,22,388,96,1385,1079,90,175,526,1020
"RAB42",6,4,22,0,209,38,79,2,189,86,9,0,1,11,27,7,0,18,15,10
"RP11-442N24--B.1",38,5,7,0,27,33,120,20,9,11,4,0,4,3,12,7,3,5,15,21
"RNU11",0,0,0,0,0,3,0,0,21,8,0,0,0,0,2,5,0,1,0,0
"GMEB1",180,99,80,2,306,353,587,148,423,160,36,2,87,32,247,263,8,21,92,155
"YTHDF2",1471,837,784,56,2017,2555,3909,1194,5963,1575,183,93,737,241,2187,2163,57,178,642,1472
"EPB41",238,241,96,2,239,695,968,193,531,111,19,8,63,25,243,290,10,8,181,260
"TMEM200B",3,5,4,0,0,0,31,38,2,2,5,1,7,2,1,14,1,0,1,4
"SRSF4",1189,512,578,14,1202,1465,5041,1549,5470,1245,192,27,483,199,1455,1465,52,93,575,1366
"MECR",297,116,183,11,740,618,1176,396,1061,309,48,10,206,61,532,403,21,17,132,299
"PTPRU",408,16,93,0,11,12,302,19,162,59,3,7,27,16,185,90,2,5,53,131
"MATN1",0,1,0,0,4,0,3,2,6,0,0,0,1,0,1,3,0,0,0,0
"MATN1-AS1",30,11,8,1,30,10,76,15,51,15,4,3,27,7,70,35,9,5,28,73
"LAPTM5",112,47,25,1,362,229,124,211,191,46,13,7,10,10,36,168,1,5,20,61
"RP5-1125N11.2",2,0,15,0,5,2,49,6,8,0,0,0,4,3,2,14,2,3,22,19
"SDC3",60,39,126,5,53,27,780,249,232,12,2,2,16,30,53,58,7,8,406,77
"PUM1",715,375,446,13,428,660,1907,697,2457,475,91,7,210,151,898,751,40,109,607,1264
"NKAIN1",13,43,8,0,1,46,61,0,1,6,0,3,25,0,35,289,5,15,60,5
"SNRNP40",697,327,385,30,1402,1438,2352,930,2301,1086,162,34,433,87,767,1364,49,106,474,460
"ZCCHC17",743,500,423,26,1053,955,2387,1038,5650,1046,114,35,470,123,774,1885,38,94,317,572
"FABP3",191,25,20,0,1,12,2,11,942,16,13,0,282,13,3,9,0,0,67,10
"SERINC2",5880,1234,3084,34,559,1784,20960,566,6671,3267,865,26,1031,760,5126,2329,215,482,2487,4151
"LINC01226",0,0,0,0,0,0,12,0,0,2,1,0,0,0,11,0,0,0,0,0
"RP11-73M7.1",4,0,0,0,3,8,0,0,1,0,2,0,0,0,0,0,0,0,0,0
"TINAGL1",1349,169,150,23,484,377,644,142,3959,223,294,16,3,73,816,175,18,1,7,6
"HCRTR1",0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"PEF1",1119,296,471,19,936,1396,4028,921,2512,799,149,12,242,117,1209,1481,35,66,347,638
"RP11-73M7.6",2,0,1,0,0,4,8,1,2,1,0,0,6,1,1,3,0,1,8,3
"RP11-73M7.9",2,1,0,0,1,2,6,2,10,1,0,0,1,0,5,4,0,1,0,1
"COL16A1",25,8,47,7,49,192,123,266,434,10,67,2,20,21,733,121,7,19,143,98
"ADGRB2",2,1,47,0,7,7,73,43,15,1,5,2,41,10,120,12,8,30,226,129
"SPOCD1",0,0,3,0,0,1,6,843,14,8,0,0,4,4,145,5,0,1,18,1
"RP11-84A19.4",1,2,1,0,0,0,5,0,36,2,1,0,0,0,48,8,0,0,7,3
"PTP4A2",862,296,1387,29,1000,809,3194,1859,3445,1068,153,75,698,393,6074,1364,190,636,3083,2039
"KHDRBS1",1352,1341,1164,46,1925,3843,6701,3082,6548,2593,186,39,490,389,3256,4368,78,186,850,2766
"RP11-277A4.4",0,14,0,0,0,2,0,0,19,15,1,1,0,0,14,36,0,0,2,1
"TMEM39B",168,43,85,6,806,505,534,513,414,120,58,0,52,20,171,172,8,7,88,122
"KPNA6",512,354,297,5,520,501,1896,616,1671,393,47,9,167,101,900,727,13,50,263,645
"TXLNA",346,160,190,1,300,234,1408,495,1065,216,31,4,64,52,523,332,17,25,275,329
"CCDC28B",19,10,26,8,230,588,236,345,217,125,82,3,36,43,154,217,8,16,80,132
"RP4-622L5.7",3,5,3,0,3,2,15,0,7,2,0,0,3,1,15,4,0,3,5,7
"IQCC",44,17,28,1,66,41,137,15,146,24,3,0,39,12,141,85,4,14,44,43
"TMEM234",358,134,183,1,341,238,602,322,303,202,38,3,129,41,321,295,10,53,289,235
"EIF3I",2840,1752,1124,30,7096,3585,7094,3912,10567,4978,366,76,1401,291,4194,4708,147,181,734,1837
"FAM167B",1,0,17,0,12,3,236,9,1167,9,18,0,1,7,20,14,0,0,3,41
"LCK",10,81,6,4,132,102,121,19,69,7,7,38,3,3,12,24,0,3,6,14
"HDAC1",904,332,479,35,2170,1279,2222,998,3461,1109,183,83,743,102,1342,2111,44,58,457,766
"MARCKSL1",11759,3887,9923,169,27701,32775,40972,4729,10613,7573,1749,331,3814,2108,15906,19376,462,571,5286,6385
"TSSK3",4,1,1,0,26,8,38,1,14,4,0,0,4,1,1,4,0,1,1,12
"FAM229A",33,40,36,0,25,41,97,30,128,29,21,1,14,8,56,44,3,13,122,90
"BSDC1",696,478,333,5,620,780,1912,521,1455,323,72,40,245,157,1314,1229,30,63,444,663
"ZBTB8A",99,43,34,3,86,55,363,47,281,87,14,1,35,16,228,169,5,17,55,78
"ZBTB8OS",772,462,340,48,1152,667,3405,760,2521,956,169,51,399,83,839,982,51,112,526,521
"RBBP4",1673,617,1095,57,2890,2383,5553,975,2250,1117,200,67,946,194,1571,2333,106,263,1107,2019
"SYNC",72,100,32,3,25,23,375,368,286,228,4,7,24,14,254,419,7,18,165,323
"KIAA1522",1316,792,638,5,338,530,3199,161,1351,299,123,10,294,218,1084,389,51,87,1112,1471
"YARS",966,607,249,10,1788,888,1299,1302,1893,586,136,12,164,49,358,596,16,44,201,302
"S100PBP",323,132,143,5,232,224,1250,415,508,232,31,19,130,35,458,313,16,48,249,406
"FNDC5",0,1,0,0,1,0,6,4,4,0,0,0,2,1,7,2,0,0,1,1
"HPCA",1,2,1,0,35,0,27,0,0,0,2,2,0,4,12,22,0,2,11,4
"TMEM54",499,611,275,10,798,545,2382,233,3266,965,69,74,109,82,1494,1461,3,34,356,1190
"RNF19B",127,86,57,2,80,32,407,193,227,59,63,2,18,8,131,42,10,18,88,283
"AK2",2245,1930,1612,45,3893,2694,8453,1773,7089,2511,725,58,1161,304,2409,1555,119,279,1370,1902
"AZIN2",11,3,7,0,21,59,90,183,52,1,27,1,29,15,79,92,1,14,55,72
"TRIM62",63,29,42,0,4,11,219,15,80,30,5,4,9,5,94,45,3,2,53,90
"ZNF362",142,27,78,2,378,253,665,120,422,44,8,3,27,23,190,123,4,9,149,114
"PHC2",168,92,148,2,237,148,819,343,474,131,38,7,51,15,205,130,11,17,137,208
"ZSCAN20",26,7,3,0,12,16,39,37,21,10,8,0,17,4,21,14,1,1,30,22
"SMIM12",945,587,542,13,883,509,3220,1474,3046,1281,117,22,250,69,611,608,24,61,375,619
"GJB5",79,3,9,0,11,0,1,1,340,292,3,0,0,1,4,0,1,0,0,28
"GJB4",33,0,1,0,0,0,0,0,43,7,0,0,0,0,0,0,0,0,0,1
"GJB3",162,11,19,0,19,40,20,0,2786,522,4,0,4,0,0,2,1,0,2,4
"GJA4",0,0,7,0,6,1,4,121,21,1,0,2,0,7,56,165,0,3,0,9
"DLGAP3",12,3,3,0,48,7,74,0,17,1,1,0,6,0,28,5,0,3,4,4
"RP11-244H3.4",8,0,4,0,0,6,13,9,40,4,2,6,27,2,12,5,1,4,7,10
"ZMYM6NB",77,0,84,0,202,210,54,469,0,0,244,1,418,31,0,1,21,93,219,262
"ZMYM6",67,54,47,4,20,38,119,66,139,48,13,7,50,12,112,156,12,11,91,101
"ZMYM1",190,75,119,2,99,151,479,237,329,111,24,2,111,23,140,160,14,39,180,228
"SFPQ",1491,2054,1014,41,1792,2550,7135,2815,10618,2841,263,80,452,319,5126,4034,112,211,1846,3189
"ZMYM4",319,203,146,2,257,390,678,386,1241,320,33,7,60,32,385,370,18,43,312,378
"ZMYM4-AS1",15,0,3,0,10,13,21,7,1,0,1,0,1,2,0,0,0,1,6,13
"KIAA0319L",287,215,196,3,268,309,1419,551,445,208,36,9,332,70,874,867,29,61,476,612
"NCDN",132,30,58,1,144,115,323,304,44,12,6,5,70,30,32,76,8,11,95,110
"RP4-728D4.2",2,13,2,0,6,2,10,2,19,4,0,0,0,0,4,0,0,0,2,0
"TFAP2E",8,5,0,0,2,4,115,0,14,6,1,1,1,0,2,0,0,0,10,2
"PSMB2",2779,2305,1732,85,5871,5050,9153,3795,12697,6912,532,112,1646,283,3729,2986,105,287,1207,1521
"C1orf216",67,61,32,1,191,128,523,398,344,49,12,4,37,22,210,213,7,15,86,112
"CLSPN",104,142,121,5,253,296,1704,808,1532,387,5,0,33,50,11,217,3,2,17,35
"AGO4",80,37,57,0,47,68,183,53,177,73,11,2,21,6,119,57,5,3,106,121
"AGO1",107,133,68,1,225,145,483,145,561,87,17,2,22,10,204,219,5,18,93,149
"RP4-789D17.5",0,0,0,0,0,0,0,0,6,0,1,0,0,0,5,0,0,0,0,0
"AGO3",222,185,133,4,465,384,1168,333,1155,243,52,8,79,52,473,410,19,34,268,508
"RP4-665N4.8",0,0,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,1,0
"TEKT2",1,0,1,0,14,10,12,0,21,1,0,0,21,4,20,36,12,7,5,19
"ADPRHL2",620,388,313,10,1228,594,2933,777,1624,705,168,15,226,65,384,471,12,43,265,449
"COL8A2",1,1,3,0,43,2,14,19,7,2,4,0,0,2,0,0,1,0,2,2
"TRAPPC3",1994,1412,808,75,4581,1886,6020,2388,4654,2031,304,110,622,179,2167,2187,82,269,852,1400
"MAP7D1",656,876,279,11,381,338,1485,1916,1015,362,58,19,126,100,939,632,8,39,225,446
"THRAP3",1283,1233,747,31,1461,2390,6113,2065,5018,1951,148,41,1377,304,1954,4007,51,176,697,1524
"SH3D21",80,5,60,0,115,17,120,30,12,12,1,0,92,36,105,80,18,38,213,180
"EVA1B",81,0,237,2,74,33,241,858,626,45,0,0,140,130,1781,1240,34,121,665,502
"RP11-268J15.5",11,11,6,0,22,4,13,5,17,23,1,0,28,8,45,55,1,6,35,23
"STK40",292,208,133,1,353,147,977,253,640,88,27,4,65,64,472,126,14,44,119,353
"LSM10",1163,928,581,15,1802,908,3643,1983,1895,1050,83,27,365,171,1290,1016,34,275,427,1133
"OSCP1",127,77,71,0,312,259,250,140,69,67,28,8,231,36,642,494,43,67,207,275
"MRPS15",2157,2202,1152,38,6430,3157,9405,2993,6055,5062,440,72,1209,217,2944,3223,102,316,666,2425
"CSF3R",12,21,24,8,7,67,29,9,14,20,0,61,189,53,84,60,4,3,269,461
"GRIK3",17,0,1,0,1,0,0,0,0,0,0,0,8,1,1,0,0,2,2,2
"LINC01137",81,167,30,0,20,14,581,115,97,237,13,7,72,19,158,244,15,25,134,289
"ZC3H12A",1285,435,207,5,111,172,1966,665,1853,1121,169,25,319,306,3138,1134,137,286,440,2090
"MEAF6",2875,1577,1397,35,2757,2802,6194,1704,3744,1531,198,118,1670,397,7516,5069,197,583,1958,3559
"SNIP1",375,90,238,3,154,161,749,142,326,76,43,3,109,54,165,215,32,51,218,627
"DNALI1",2,2,147,0,1,3,2,5,3,1,0,24,481,187,961,1317,43,170,193,980
"GNL2",760,481,238,9,1035,1307,1476,690,2762,534,70,20,384,97,614,959,37,55,276,408
"RSPO1",0,0,0,0,0,0,9,0,47,0,0,0,1,1,0,0,0,0,0,0
"C1orf109",227,277,130,5,551,306,795,142,1007,246,37,20,75,22,228,517,13,35,211,304
"CDCA8",174,131,96,10,624,456,1561,323,1324,293,19,0,52,42,38,91,6,6,89,54
"EPHA10",12,20,9,0,2,30,15,0,3,5,10,1,7,6,37,48,3,7,28,44
"MANEAL",116,120,19,0,6,14,306,26,58,42,1,2,11,12,45,74,1,23,72,154
"YRDC",306,69,100,2,403,156,178,165,326,283,12,15,24,10,283,91,13,26,136,198
"C1orf122",862,1350,605,9,1833,984,3506,2410,2383,1911,169,16,234,207,1695,1291,26,152,243,1336
"MTF1",262,244,111,3,223,249,915,222,650,155,29,4,110,44,250,351,18,47,120,218
"INPP5B",43,78,13,0,37,53,154,67,207,25,13,1,13,11,44,60,1,3,35,39
"SF3A3",680,431,275,15,1716,1277,2193,838,2958,733,71,19,443,68,652,754,17,41,187,328
"FHL3",130,52,74,3,413,238,874,1761,486,133,20,3,37,18,46,105,11,12,33,68
"UTP11L",707,415,312,27,1131,965,2113,730,2645,1106,105,22,210,80,596,973,30,23,164,254
"POU3F1",18,8,18,0,0,2,35,2,11,4,3,0,1,0,4,2,2,3,3,12
"RP5-884C9.2",9,1,2,0,0,0,36,10,2,0,0,0,2,2,0,1,0,0,0,13
"RRAGC",412,410,208,14,149,320,1159,586,1269,353,37,32,61,50,627,404,8,26,134,440
"RP5-864K19.4",48,26,20,0,74,83,298,117,120,25,11,1,19,5,31,5,8,6,43,30
"MYCBP",287,779,169,8,165,138,507,183,1065,688,45,10,478,34,721,958,55,58,362,466
"RHBDL2",391,25,31,10,39,94,648,130,1544,211,36,0,22,19,16,19,1,10,43,126
"AKIRIN1",1237,716,606,14,1742,1581,3438,1334,3339,775,106,21,366,202,1913,763,55,192,642,1428
"NDUFS5",7584,4323,4846,48,8521,12324,35996,6908,24055,17938,888,151,3023,1059,9756,8988,531,979,3355,6088
"MACF1",978,471,361,11,717,522,3077,1695,3049,379,64,11,366,147,1211,1007,42,74,666,1082
"BMP8A",0,1,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0
"RP11-69E11.4",23,40,4,0,5,22,7,18,46,5,5,2,9,2,51,17,2,4,16,25
"PABPC4",1170,619,634,10,1863,1839,1167,2608,3131,1516,199,17,251,171,2140,630,98,64,625,942
